iter	Passed	Remaining
0	58	58657
1	59	29444
2	59	19723
3	59	14853
4	60	11941
5	60	10002
6	60	8609
7	60	7559
8	61	6740
9	61	6104
10	61	5567
11	62	5120
12	62	4744
13	62	4421
14	63	4139
15	63	3893
16	63	3675
17	63	3482
18	64	3310
19	64	3153
20	64	3012
21	64	2885
22	65	2768
23	65	2665
24	65	2568
25	66	2476
26	66	2394
27	66	2316
28	67	2245
29	67	2179
30	67	2116
31	68	2058
32	68	2001
33	68	1947
34	68	1896
35	69	1849
36	69	1804
37	69	1764
38	69	1724
39	70	1686
40	70	1651
41	70	1618
42	71	1586
43	71	1556
44	72	1528
45	72	1499
46	72	1470
47	72	1445
48	73	1421
49	73	1396
50	73	1372
51	74	1352
52	74	1331
53	74	1310
54	75	1289
55	75	1270
56	75	1252
57	76	1234
58	76	1216
59	76	1199
60	76	1182
61	77	1166
62	77	1151
63	77	1136
64	78	1122
65	78	1109
66	78	1095
67	79	1084
68	79	1071
69	79	1058
70	79	1045
71	80	1033
72	80	1022
73	80	1010
74	81	1000
75	81	989
76	81	979
77	81	968
78	82	958
79	82	949
80	82	939
81	83	930
82	83	920
83	83	912
84	84	904
85	84	896
86	84	889
87	85	881
88	85	873
89	85	865
90	85	857
91	86	849
92	86	841
93	86	835
94	86	828
95	87	821
96	87	814
97	87	808
98	88	801
99	88	796
100	88	791
101	89	785
102	89	780
103	90	777
104	90	773
105	91	768
106	91	763
107	91	758
108	92	753
109	92	747
110	92	742
111	93	737
112	93	731
113	93	726
114	93	721
115	94	717
116	94	711
117	94	707
118	94	703
119	95	698
120	95	694
121	95	689
122	96	685
123	96	681
124	96	676
125	97	672
126	97	668
127	97	664
128	97	660
129	98	657
130	98	654
131	98	650
132	99	646
133	99	643
134	99	639
135	100	635
136	100	631
137	100	628
138	100	624
139	101	621
140	101	617
141	101	613
142	101	610
143	102	606
144	102	604
145	102	601
146	103	598
147	103	596
148	103	593
149	104	591
150	104	588
151	104	585
152	105	582
153	105	579
154	105	576
155	105	573
156	106	570
157	106	567
158	106	564
